Modulo|CT|Nome|Descricao|Passos|Resultado Esperado|Criticidade|Status
Autenticacao e Sessao|CT001|Login com credenciais validas (usuario comum)|Realizar login com email e senha corretos de um colaborador nao-admin|1. Acessar /login 2. Preencher campo Email com email valido de um colaborador ativo 3. Preencher campo Senha com a senha correta 4. Clicar no botao Entrar|Redirecionado para /organograma. Cookie session criado (httpOnly). Cookie tema criado (nao-httpOnly). Navbar exibe nome do usuario e link para perfil.|Critica|passed
Autenticacao e Sessao|CT002|Login com credenciais validas (admin)|Realizar login com email e senha corretos de um ADMIN_PLATAFORMA|1. Acessar /login 2. Preencher Email com email de um ADMIN_PLATAFORMA ativo 3. Preencher Senha com a senha correta 4. Clicar em Entrar|Redirecionado para /admin (dashboard admin)|Critica|passed
Autenticacao e Sessao|CT003|Login com senha incorreta|Tentar login com email existente e senha errada|1. Acessar /login 2. Preencher Email com email de colaborador existente 3. Preencher Senha com valor incorreto 4. Clicar em Entrar|Permanecer na pagina /login. Exibir query param ?erro. Banner vermelho de erro visivel.|Alta|passed
Autenticacao e Sessao|CT004|Login com usuario inexistente|Tentar login com email que nao existe no banco|1. Acessar /login 2. Preencher Email com email_inexistente@teste.com 3. Preencher Senha com qualquer valor 4. Clicar em Entrar|Mensagem de erro Email ou senha invalidos (sem vazar informacao sobre existencia do usuario)|Alta|passed
Autenticacao e Sessao|CT005|Login com campos vazios|Tentar login sem preencher os campos obrigatorios|1. Acessar /login 2. Deixar Email vazio 3. Deixar Senha vazio 4. Clicar em Entrar|Validacao HTML5 bloqueia o envio. Nenhuma requisicao enviada.|Media|passed
Autenticacao e Sessao|CT006|Login com usuario inativo|Tentar login com colaborador cujo status e diferente de ativo|1. No banco alterar status de um colaborador para vago 2. Acessar /login 3. Inserir email e senha corretos desse colaborador 4. Clicar em Entrar|Mensagem de erro Email ou senha invalidos (sem revelar o motivo especifico)|Alta|passed
Autenticacao e Sessao|CT007|Login com empresa inativa|Tentar login de um colaborador cuja empresa esta com ativa = false|1. Acessar /login 2. Inserir email e senha corretos de colaborador de empresa inativa 3. Clicar em Entrar|Mensagem de erro Email ou senha invalidos|Alta|passed
Autenticacao e Sessao|CT008|Login admin com empresa inativa|ADMIN_PLATAFORMA/SUPORTE devem conseguir logar independente do status da empresa|1. No banco ter ADMIN_PLATAFORMA com status ativo 2. Acessar /login 3. Inserir email e senha corretos 4. Clicar em Entrar|Login bem-sucedido. Redirecionado para /admin.|Alta|nao testado - admin nao possui empresa vinculada
Autenticacao e Sessao|CT009|Logout bem-sucedido|Realizar logout e verificar destruicao da sessao|1. Estar logado no sistema 2. Clicar no botao Sair (presente na navbar) 3. Aguardar redirecionamento|Cookie session removido. Redirecionado para /login. Tentar acessar /organograma apos logout: redirecionado para /login.|Critica|passed
Autenticacao e Sessao|CT010|Expiracao de sessao (24h)|Verificar que o token JWT expira apos 24 horas|1. Realizar login 2. Inspecionar cookie session no navegador (DevTools > Application > Cookies) 3. Verificar campo exp do JWT (decodificar Base64)|O token contem exp com timestamp equivalente a iat + 86400 segundos (24h). Apos esse periodo o cookie e rejeitado pelo servidor.|Alta|exp deu 384 - verificar
Autenticacao e Sessao|CT011|Acessar pagina protegida sem sessao|Tentar acessar paginas internas sem estar logado|1. Limpar cookies do navegador 2. Acessar diretamente /organograma|Redirecionado para /login|Critica|passed
Autenticacao e Sessao|CT012|Acessar pagina admin sem sessao|Tentar acessar /admin sem estar logado|1. Limpar cookies 2. Acessar /admin|Redirecionado para /login|Critica|passed
Autenticacao e Sessao|CT013|Recuperacao de senha (inexistente)|Verificar se existe fluxo de recuperacao de senha|1. Acessar /login 2. Verificar se ha link Esqueceu a senha? ou similar|O sistema NAO possui fluxo de recuperacao de senha. Isso e uma limitacao conhecida.|Media|fluxo ainda nao implementado
Home / Landing Page|CT014|Visualizar landing page (nao logado)|Usuario nao autenticado acessa a pagina inicial e ve os planos|1. Nao estar logado 2. Acessar / 3. Scrollar a pagina|Hero section visivel. Lista de planos cadastrados exibida em grid de cards. Cada card mostra: nome descricao preco mensal/anual recursos botao Contratar linkando para /checkout/[slug]|Media|passed
Home / Landing Page|CT015|Landing page redireciona quando logado|Usuario autenticado acessa a raiz e e redirecionado|1. Estar logado como colaborador comum 2. Acessar /|Redirecionado para /organograma|Media|passed
Home / Landing Page|CT016|Landing page redireciona admin|Admin logado acessa a raiz|1. Estar logado como ADMIN_PLATAFORMA 2. Acessar /|Redirecionado para /admin|Media|passed
Home / Landing Page|CT017|Landing page sem planos|Verificar comportamento quando nao ha planos cadastrados|1. Nao estar logado 2. Acessar /|Pagina carrega sem erros. Secao de planos vazia ou com indicador de que nao ha planos disponiveis. CTA permanece visivel.|Baixa|nao testado
Perfil do Usuario|CT018|Acessar perfil logado|Usuario autenticado acessa /perfil e visualiza seus dados|1. Estar logado 2. Acessar /perfil 3. Observar a pagina|Avatar (foto ou inicial do nome). Nome funcao papel (badge) email CPF lider (se houver). Secoes: Minhas Acoes Foto de Perfil Informacoes do Perfil Alterar Senha.|Alta|passed - precisa mostrar preview da foto atual e toast ao salvar
Perfil do Usuario|CT019|Acessar perfil sem autenticacao|Tentar acessar perfil sem estar logado|1. Limpar cookies 2. Acessar /perfil|Redirecionado para /login|Alta|passed
Perfil do Usuario|CT020|Upload de foto valida|Enviar uma imagem valida para foto de perfil|1. Acessar /perfil 2. Na secao Foto de Perfil clicar em Escolher Foto 3. Selecionar um arquivo PNG/JPEG/WebP valido (max 5MB) 4. Aguardar processamento|Preview da imagem exibido durante o upload. Loading spinner sobre o avatar. Mensagem Foto atualizada com sucesso!. Avatar atualizado. Recarregar confirma persistencia.|Alta|passed
Perfil do Usuario|CT021|Upload de arquivo nao-imagem|Tentar enviar um arquivo que nao e imagem|1. Clicar em Escolher Foto 2. Selecionar um arquivo PDF ou .txt|Validacao do lado do cliente: O arquivo precisa ser uma imagem. Nenhuma requisicao enviada ao servidor.|Media|passed
Perfil do Usuario|CT022|Upload de imagem muito grande|Enviar imagem que excede limites|1. Selecionar imagem > 10MB|Servidor processa com sharp e redimensiona para 400x400. Nao deve haver erro de tamanho maximo. Se Next.js tiver bodyParser limit pode retornar erro 413.|Media|passed
Perfil do Usuario|CT023|Upload sem selecionar arquivo|Fechar seletor sem escolher arquivo|1. Clicar em Escolher Foto 2. Pressionar Cancel/Esc no dialogo de arquivo|Nenhuma acao. Pagina permanece inalterada.|Baixa|passed
Perfil do Usuario|CT024|Atualizar nome e username|Alterar nome e username do perfil|1. Acessar /perfil 2. Em Informacoes do Perfil alterar o campo Nome 3. Alterar o campo Username 4. Clicar em Salvar Alteracoes|Mensagem Perfil atualizado com sucesso!. Dados refletidos na navbar. Recarregar confirma persistencia.|Media|passed - melhor se aparecesse toast
Perfil do Usuario|CT025|Alterar tema|Alterar tema entre Claro Escuro e Sistema|1. Em Informacoes do Perfil selecionar tema Escuro 2. Salvar 3. Observar a interface|Tema escuro aplicado imediatamente. Cookie tema atualizado com valor dark. Ao fazer logout e login em outro dispositivo o tema persiste.|Baixa|passed
Perfil do Usuario|CT026|Alterar senha com sucesso|Alterar a senha com dados corretos|1. Acessar /perfil 2. Em Alterar Senha preencher Senha Atual corretamente 3. Preencher Nova Senha (6+ caracteres) 4. Preencher Confirmar Nova Senha igual 5. Clicar em Alterar Senha|Mensagem Senha alterada com sucesso. Fazer logout e login com a nova senha funciona.|Alta|testar mais a frente
Perfil do Usuario|CT027|Alterar senha com senha atual incorreta|Tentar alterar senha com senha atual errada|1. Preencher Senha Atual incorreta 2. Preencher nova senha e confirmacao 3. Clicar em Alterar Senha|Mensagem de erro Senha atual incorreta|Alta|testar mais a frente
Perfil do Usuario|CT028|Alterar senha com nova senha curta|Tentar alterar senha com menos de 6 caracteres|1. Preencher Nova Senha com 3 caracteres|Validacao HTML5 minLength=6 bloqueia o envio|Media|testar mais a frente
Perfil do Usuario|CT029|Alterar senha com confirmacao diferente|Tentar alterar senha com confirmacao diferente da nova senha|1. Preencher Nova Senha e Confirmar Nova Senha com valores diferentes|A validacao de igualdade e feita no servidor. Deve retornar erro As senhas nao conferem.|Media|passed
Perfil do Usuario|CT030|Verificar se sessao antiga funciona apos troca de senha|Trocar senha e verificar que tokens JWT antigos nao sao invalidados|1. Fazer login (token JWT gerado) 2. Alterar senha 3. Usar o mesmo cookie de sessao para acessar paginas|Sistema nao invalida tokens apos troca de senha. Token antigo continua valido ate expirar em 24h. Risco de seguranca conhecido.|Alta|testar mais a frente
Organograma|CT031|Carregar organograma com dados|Visualizar a arvore hierarquica completa|1. Estar logado como CEO ou colaborador da empresa 2. Acessar /organograma 3. Aguardar carregamento do canvas ReactFlow|Tela dividida: topo com barra de ferramentas centro com o grafo. CEO/Diretores (roots) visiveis. Nos conectados por arestas (smoothstep). Contador X de Y no topo direito. MiniMap visivel no canto inferior direito. Botoes de zoom (Controls) visiveis.|Critica|passed
Organograma|CT032|Organograma sem colaboradores|Visualizar organograma de empresa sem colaboradores|1. Acessar /organograma|Canvas vazio sem erros. Mensagem ou estado vazio indicando que nao ha colaboradores.|Media|passed - sempre vai ter pelo menos o CEO
Organograma|CT033|Expandir e recolher nos|Clicar em um no com filhos para expandir/recolher|1. Identificar um no que tenha subordinados (indicador ▶) 2. Clicar no no (nao no botao ▶) 3. Observar os filhos aparecerem 4. Clicar novamente|Ao clicar: nos filhos aparecem com animacao suave. Indicador ▶ gira 90 quando expandido. Ao clicar novamente: filhos recolhidos. Contador X de Y atualiza.|Alta|passed
Organograma|CT034|Expandir/Recolher tudo|Usar o botao de expandir/recolher tudo|1. Clicar em Expandir Tudo 2. Observar todos os nos expandirem 3. Clicar em Recolher Tudo|Botao alterna entre Expandir Tudo e Recolher Tudo. Todos os nos com filhos expandem ou recolhem conforme acao. Botao reflete estado atual correto.|Alta|passed
Organograma|CT035|Alternar modo Formal / Ludico|Toggle entre visual formal (cards) e ludico (avatares)|1. Clicar em Ludico 2. Observar alteracao visual 3. Clicar em Formal|Modo ludico: nos circulares com icones do cargo ou foto de perfil. Modo formal: cards retangulares. Todas as interacoes funcionam em ambos.|Media|passed
Organograma|CT036|Arrastar nos|Arrastar um no para reposiciona-lo no canvas|1. Clicar e segurar em um no 2. Arrastar para outra posicao 3. Soltar|No move-se livremente. Posicao nao e persistida (apenas visual).|Baixa|passed
Organograma|CT037|Zoom e pan no canvas|Usar scroll para zoom e clique+arrasto no fundo para pan|1. Scroll para cima/baixo no canvas 2. Clicar e arrastar no fundo do canvas|Scroll: zoom in/out (minZoom=0.2 maxZoom=2.5). Arrasto no fundo: pan do canvas.|Media|passed
Organograma|CT038|Editar nome e cargo (duplo clique)|Duplo clique em no para editar nome e cargo|1. Dar duplo clique em um no 2. Alterar nome no input 3. Alterar cargo no SelectCargo 4. Pressionar Enter ou clicar fora|Input e SelectCargo aparecem no lugar do texto. Ao salvar: no atualizado. Dados persistidos no banco.|Alta|corrigido (BUG-01)
Organograma|CT039|Editar com Escape|Cancelar edicao inline com tecla Escape|1. Duplo clique em no 2. Modificar nome 3. Pressionar Escape|Edicao cancelada. Nome/Cargo retornam aos valores originais.|Media|corrigido (BUG-01)
Organograma|CT040|Editar com nome vazio|Tentar salvar edicao com nome vazio|1. Duplo clique 2. Apagar o nome 3. Pressionar Enter|A validacao no servidor impede nome vazio.|Media|corrigido (BUG-01 + BUG-03)
Organograma|CT041|Adicionar subordinado valido|Clicar no + do hover para adicionar subordinado|1. Passar mouse sobre no 2. Clicar no botao + 3. Preencher Nome e Funcao 4. Opcional: CPF 5. Opcional: Transferir subordinados 6. Clicar em Adicionar|Modal fecha. Novo no aparece como filho. Dados persistidos no banco. Contador atualizado.|Alta|passed
Organograma|CT042|Adicionar subordinado sem nome|Tentar adicionar subordinado com nome vazio|1. Clicar em + no hover 2. Deixar Nome vazio 3. Clicar em Adicionar|Modal nao fecha. Validacao impede envio ou servidor retorna erro.|Media|passed - talvez mostrar feedback
Organograma|CT043|Adicionar com CPF invalido|Inserir CPF com formato invalido|1. Abrir modal de adicionar 2. Preencher CPF com menos de 11 digitos ou letras 3. Clicar em Adicionar|Validacao impede CPF com menos de 11 digitos ou com letras.|Media|corrigido (BUG-03)
Organograma|CT044|Excluir sem subordinados|Excluir colaborador que nao tem subordinados|1. Passar mouse sobre no sem filhos 2. Clicar no x vermelho 3. Confirmar|No removido do canvas. Dados removidos do banco. Contador atualizado.|Alta|passed
Organograma|CT045|Excluir com subordinados|Excluir um lider que possui subordinados|1. Passar mouse sobre no com filhos 2. Clicar em x 3. Confirmar|Lider removido. Subordinados transferidos para o lider imediato. Confirm exibe mensagem.|Critica|passed
Organograma|CT046|Excluir cancelada|Clicar em x e cancelar no confirm|1. Clicar em x no hover 2. Clicar Cancelar no confirm|No permanece. Nenhuma acao executada.|Media|nao testado
Organograma|CT047|Relocar colaborador|Mover um colaborador para outro lider|1. Passar mouse sobre no 2. Clicar em relocar 3. Selecionar novo lider 4. Confirmar|No reposicionado. Edge atualizada para novo lider. Dados persistidos.|Alta|passed
Organograma|CT048|Relocar para si mesmo (impedido)|Tentar relocar um colaborador para ele mesmo como lider|1. Abrir modal de relocar 2. Tentar selecionar o proprio colaborador|Proprio colaborador nao deve aparecer como opcao ou acao rejeitada pelo servidor.|Media|passed
Organograma|CT049|Ativar modo simulacao|Clicar em Simular para entrar no modo de simulacao|1. Estar no organograma 2. Clicar em Simular|Botao muda para Sair da Simulacao. Barra de ferramentas aparece. Nos com borda ambar. Dados carregados. Indicador de impacto.|Alta|passed parcialmente
Organograma|CT050|Simular demissao|Demitir um colaborador na simulacao|1. Ativar modo simulacao 2. Passar mouse sobre no 3. Clicar em demitir|No fica VAGO (borda vermelha). Impactos recalculados. Sugestoes de cascata. Contagem incrementa. Nenhum dado persistido.|Alta|passed - pode melhorar (promocao 1 clique)
Organograma|CT051|Simular promocao|Promover um colaborador na simulacao|1. Ativar simulacao 2. Clicar em promover 3. Selecionar novo cargo e lider 4. Confirmar|No com badge PROMOVIDO (borda esmeralda). Impactos recalculados.|Alta|passed
Organograma|CT052|Preencher vaga na simulacao|Clicar em promover em no vago para preencher com candidato|1. Ativar simulacao 2. Clicar em promover em no VAGO 3. Selecionar candidato 4. Confirmar|Vaga preenchida. No candidato promovido. Vaga criada na posicao antiga. Impactos recalculados.|Alta|erro ao aplicar - precisa otimizar
Organograma|CT053|Aplicar simulacao|Aplicar todas as acoes da simulacao no banco real|1. Realizar acoes de simulacao 2. Clicar em Aplicar Simulacao|Mudancas persistidas no banco. Simulacao encerrada. Organograma recarregado com dados reais.|Critica|precisa de loading - adicionado (IMP-02)
Organograma|CT054|Descartar simulacao|Descartar acoes da simulacao sem aplicar|1. Realizar acoes de simulacao 2. Clicar em Descartar|Acoes descartadas. Organograma retorna ao estado original. Nenhuma alteracao no banco.|Alta|passed
Organograma|CT055|Visualizar impactos|Clicar no indicador de impacto para ver detalhes|1. Realizar acao que gere impactos 2. Clicar no botao de impacto|Modal com lista de impactos coloridos. Input para impacto manual. Rolagem se muitos.|Media|passed
